eventName,eventCategory,eventSubCategory,eventWebsite,eventTicketLink,eventStartMonth,eventStartDay,eventStartYear,eventEndMonth,eventEndDay,eventEndYear,eventStartTime,eventEndTime,eventLocation,eventCreatorType,eventKeywords,claimEvent,eventDescription,ageRestricted,longitude,latitude
"Ramón Serrano",3,0,NULL,NULL,09,11,2013,09,11,2013,NULL,23:59,"  															Corkin Gallery",Artist,NULL,0,NULL,0,-79.358817,43.6503762
"Katja Jacobs",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															David Kaye",Artist,NULL,0,NULL,0,-79.3831843,43.653226
"Yuriko Kubato",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															De Luca Fine Art",Artist,NULL,0,NULL,0,-79.3971877,43.6762625
"Radical Friend (Kirby McClure and Julia Grigorian)",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Drake Hotel",Artist,NULL,0,NULL,0,-79.4246457,43.6431078
"Chinese Ceramics & Asian Works Of Art",3,0,NULL,NULL,09,12,2013,09,12,2013,NULL,23:59,"  															888 Auctions",Artist,NULL,0,NULL,0,-79.3876864,43.8434746
"Sheri STRanger",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Full of Beans Coffee",Artist,NULL,0,NULL,0,-79.4273562,43.6495112
"Group show",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Gallery Hittite",Artist,NULL,0,NULL,0,-79.3922736,43.6717562
"Optical Architecture group show",3,0,NULL,NULL,09,10,2013,09,10,2013,NULL,23:59,"  															Gallery M",Artist,NULL,0,NULL,0,-79.4203695,43.7991555
"Kathleen Verret, Darcia Labrosse and Colleen McCarten",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Gallery 1313",Artist,NULL,0,NULL,0,-79.432007,43.641453
"Andrew James Paterson",3,0,NULL,NULL,09,12,2013,09,12,2013,NULL,23:59,"  															gallerywest",Artist,NULL,0,NULL,0,-79.4254957,43.642876
"Scott Everingham",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															General Hardware Contemporary",Artist,NULL,0,NULL,0,-79.4386927,43.6401947
"The Textile Show",3,0,NULL,NULL,09,11,2013,09,11,2013,NULL,23:59,"  															Gerrard Art Space",Artist,NULL,0,NULL,0,-79.3238651,43.6719454
"Juliana Neufeld and Hannah Pertsovsky",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Gladstone Hotel",Artist,NULL,0,NULL,0,-79.4271173,43.6425599
"Tim Tadder",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Gladstone Hotel",Artist,NULL,0,NULL,0,-79.4271173,43.6425599
"Graham Krenz",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Gladstone Hotel",Artist,NULL,0,NULL,0,-79.4271173,43.6425599
"Laura Clayton",3,0,NULL,NULL,09,26,2013,09,26,2013,NULL,23:59,"  															Graven Feather",Artist,NULL,0,NULL,0,-79.4155148,43.6448754
"Thomas Bittner",3,0,NULL,NULL,09,08,2013,09,08,2013,NULL,23:59,"  															Hangman Art Gallery",Artist,NULL,0,NULL,0,-79.3463036,43.6596916
"Print Market",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Hashtag Gallery",Artist,NULL,0,NULL,0,-79.4081523,43.6518584
"Lulu Ladrón de Guevara",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															IndexG Gallery",Artist,NULL,0,NULL,0,-79.427769,43.6439345
"Brian Burke",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Ingram Gallery",Artist,NULL,0,NULL,0,-79.3948147,43.6708126
"Photo-OP group show",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															John B. Aird",Artist,NULL,0,NULL,0,-79.3876388,43.6633629
"Harry Nash, the Martino Twins and Bob Amirault",3,0,NULL,NULL,09,17,2013,09,17,2013,NULL,23:59,"  															Joseph D Carrier Gallery",Artist,NULL,0,NULL,0,-79.4569069,43.7136154
"Thinking Back, Moving Forward group show",3,0,NULL,NULL,09,06,2013,09,06,2013,NULL,23:59,"  															Julie M. Gallery",Artist,NULL,0,NULL,0,-79.3621482,43.650182
"Luke Painter",3,0,NULL,NULL,09,06,2013,09,06,2013,NULL,23:59,"  															Le Gallery",Artist,NULL,0,NULL,0,-79.4220326,43.6493644
"Joel Harrison-Off",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															MADE",Artist,NULL,0,NULL,0,-79.4102532,43.6514305
"Hashim Hannoon",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Mayberry Fine Art",Artist,NULL,0,NULL,0,-79.3928434,43.6709161
"Christopher Kulendran Thomas",3,0,NULL,NULL,09,06,2013,09,06,2013,NULL,23:59,"  															Mercer Union",Artist,NULL,0,NULL,0,-79.4417747,43.6585552
"Scott Boniface",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Moniker Gallery",Artist,NULL,0,NULL,0,-79.3973437,43.647843
"Jacob Whibley",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Narwhal Projects",Artist,NULL,0,NULL,0,-79.4693503,43.6655731
"Purple Studio painters",3,0,NULL,NULL,09,09,2013,09,09,2013,NULL,23:59,"  															Neilson Park Creative Centre",Artist,NULL,0,NULL,0,-79.5679235,43.6295213
"Edward Burtynsky",3,0,NULL,NULL,09,12,2013,09,12,2013,NULL,23:59,"  															Nicholas Metivier",Artist,NULL,0,NULL,0,-79.3960044,43.6450824
"fART: A Show About Food + Art",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															OCAD U Student Gallery",Artist,NULL,0,NULL,0,-79.3906999,43.6518708
"John McEwen",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Olga Korper",Artist,NULL,0,NULL,0,-79.4468751,43.6525824
"History Becomes You group show;",3,0,NULL,NULL,09,06,2013,09,06,2013,NULL,23:59,"  															Paul Petro",Artist,NULL,0,NULL,0,-79.4179805,43.6443919
"Momento Mori group show",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Project Gallery",Artist,NULL,0,NULL,0,-79.3354665,43.6620533
"Antonio Lastoria",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Rivoli",Artist,NULL,0,NULL,0,-79.3947847,43.6490803
"Elise Windsor",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Soho Lobby Gallery",Artist,NULL,0,NULL,0,-79.3921465,43.6449299
"Carrie Perreault",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Stantec Window Gallery",Artist,NULL,0,NULL,0,-79.3948958,43.6442837
"Jonathan Hlibka",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Studio Event Theatre",Artist,NULL,0,NULL,0,-79.3911978,43.6461628
"Julia Vandepolder",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Telephone Booth Gallery",Artist,NULL,0,NULL,0,-79.4748988,43.6655605
"Ralph Steadman",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															TIFF Bell Lightbox",Artist,NULL,0,NULL,0,-79.3902373,43.6466182
"Heather Bedell",3,0,NULL,NULL,09,06,2013,09,06,2013,NULL,23:59,"  															Toronto Image Works",Artist,NULL,0,NULL,0,-79.3956474,43.64604
"Mike Badour",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															26",Artist,NULL,0,NULL,0,-79.4242321,43.6477835
"Vivan Maier",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															23 Morrow",Artist,NULL,0,NULL,0,-79.609818,43.68224
"Martha Weber and Andris Piebalgs",3,0,NULL,NULL,09,06,2013,09,06,2013,NULL,23:59,"  															Twist Gallery",Artist,NULL,0,NULL,0,-79.4227982,43.6435202
"Kaspara Albertsen",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Urban Gallery",Artist,NULL,0,NULL,0,-79.3627606,43.6559911
"Rod Grigor",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Walnut Contemporary",Artist,NULL,0,NULL,0,-79.4076532,43.6428236
"John Joy",3,0,NULL,NULL,09,08,2013,09,08,2013,NULL,23:59,"  															Yorkminster Park Gallery",Artist,NULL,0,NULL,0,-79.3946902,43.6902741
"Erin MacKeen",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Yumart",Artist,NULL,0,NULL,0,-79.3952038,43.6462647
"Seripop (Yannick Desranleau and Chloe Lum) and Hanna Hur",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															YYZ",Artist,NULL,0,NULL,0,-79.3937409,43.6478533
"Locating Obscurity: Photography Now group show",3,0,NULL,NULL,08,22,2013,08,22,2013,NULL,23:59,"  															Angell",Artist,NULL,0,NULL,0,-79.4190129,43.6445305
"Jesse Harris and Sarah Nasby",3,0,NULL,NULL,09,04,2013,09,04,2013,NULL,23:59,"  															Art Metropole",Artist,NULL,0,NULL,0,-79.4317968,43.6497137
"Group show",3,0,NULL,NULL,09,04,2013,09,04,2013,NULL,23:59,"  															Artisans at Work",Artist,NULL,0,NULL,0,-79.3130646,43.6855932
"Artisans' marketplace",3,0,NULL,NULL,06,22,2013,06,22,2013,NULL,23:59,"  															Arts Market",Artist,NULL,0,NULL,0,-79.4233365,43.6543389
"Mohsen Rifaat",3,0,NULL,NULL,08,22,2013,08,22,2013,NULL,23:59,"  															Atelier Rzlbd",Artist,NULL,0,NULL,0,-79.3883014,43.7692373
"Miiko Gravlin and Greg Locke",3,0,NULL,NULL,09,28,2013,09,28,2013,NULL,23:59,"  															Aurora Cultural Centre",Artist,NULL,0,NULL,0,-79.4653636,43.9972484
"Sarah Anne Johnson",3,0,NULL,NULL,01,23,2013,01,23,2013,NULL,23:59,"  															BMO Project Room",Artist,NULL,0,NULL,0,-79.3831843,43.653226
"Udo Schliemann",3,0,NULL,NULL,07,17,2013,07,17,2013,NULL,23:59,"  															Bulthaup",Artist,NULL,0,NULL,0,-79.3656641,43.6519841
"Barry Prophet",3,0,NULL,NULL,06,27,2013,06,27,2013,NULL,23:59,"  															Centre Island",Artist,NULL,0,NULL,0,-79.3785766,43.6390206
"Art From Huronia Regional Centre",3,0,NULL,NULL,06,02,2013,06,02,2013,NULL,23:59,"  															Creative Spirit Art Centre",Artist,NULL,0,NULL,0,-79.4318068,43.6674905
"Southeast Asia, Figuratively Speaking group show",3,0,NULL,NULL,08,28,2013,08,28,2013,NULL,23:59,"  															The East Gallery",Artist,NULL,0,NULL,0,-79.3924709,43.654109
"Erin Perry",3,0,NULL,NULL,07,20,2013,07,20,2013,NULL,23:59,"  															Elora Centre for the Arts",Artist,NULL,0,NULL,0,-80.4265549,43.6828928
"Design By Nature competition winners",3,0,NULL,NULL,08,21,2013,08,21,2013,NULL,23:59,"  															Evergreen Brick Works",Artist,NULL,0,NULL,0,-79.3907046,43.7936693
"Last Wednesdays: extended gallery hours",3,0,NULL,NULL,08,21,2013,08,21,2013,NULL,23:59,"  															401 Richmond W",Artist,NULL,0,NULL,0,-79.3831843,43.653226
"Jeff Blackburn",3,0,NULL,NULL,09,01,2013,09,01,2013,NULL,23:59,"  															Gallery 431",Artist,NULL,0,NULL,0,-79.4511739,43.6518773
"Placed group show",3,0,NULL,NULL,09,21,2013,09,21,2013,NULL,23:59,"  															Gallery Arcturus",Artist,NULL,0,NULL,0,-79.3779997,43.6601005
"Sylvia Lefkowitz",3,0,NULL,NULL,09,21,2013,09,21,2013,NULL,23:59,"  															Gallery Gevik",Artist,NULL,0,NULL,0,-79.3931462,43.67097
"Group show",3,0,NULL,NULL,08,28,2013,08,28,2013,NULL,23:59,"  															Gallery Hittite",Artist,NULL,0,NULL,0,-79.3922736,43.6717562
"Graham Bowden",3,0,NULL,NULL,08,21,2013,08,21,2013,NULL,23:59,"  															Gallery in the Garden",Artist,NULL,0,NULL,0,-79.5559716,43.6126518
"TD Bank Inuit art collection",3,0,NULL,NULL,08,21,2013,08,21,2013,NULL,23:59,"  															Gallery of Inuit Art",Artist,NULL,0,NULL,0,-79.380833,43.647917
"Laura den Hertog",3,0,NULL,NULL,08,21,2013,08,21,2013,NULL,23:59,"  															Gallery 133",Artist,NULL,0,NULL,0,-79.4582087,43.6995533
"Evan Kelemen",3,0,NULL,NULL,09,04,2013,09,04,2013,NULL,23:59,"  															Hank's",Artist,NULL,0,NULL,0,-79.412612,43.7740997
"Surface; The Third Space group shows; photos:",3,0,NULL,NULL,06,21,2013,06,21,2013,NULL,23:59,"  															Harbourfront Centre",Artist,NULL,0,NULL,0,-79.3828906,43.6391182
"Nine Rivers City: Toronto's Extraordinary Waterways",3,0,NULL,NULL,06,21,2013,06,21,2013,NULL,23:59,"  															Harbourfront Centre",Artist,NULL,0,NULL,0,-79.3828906,43.6391182
"Leila Fatemi",3,0,NULL,NULL,09,12,2013,09,12,2013,NULL,23:59,"  															I.M.A Gallery",Artist,NULL,0,NULL,0,-79.3956474,43.64604
"J Christian S",3,0,NULL,NULL,09,12,2013,09,12,2013,NULL,23:59,"  															J Christian S Studio",Artist,NULL,0,NULL,0,-79.4680673,43.6666486
"Tohoku Through The Eyes Of Japanese Photographers",3,0,NULL,NULL,09,20,2013,09,20,2013,NULL,23:59,"  															Japan Foundation",Artist,NULL,0,NULL,0,-79.3927969,43.6687574
"Iara Freiberg",3,0,NULL,NULL,10,20,2013,10,20,2013,NULL,23:59,"  															Koffler offsite",Artist,NULL,0,NULL,0,-79.3759044,43.6414574
Migration,3,0,NULL,NULL,08,26,2013,08,26,2013,NULL,23:59,"  															L Space Gallery",Artist,NULL,0,NULL,0,-79.3831843,43.653226
"Deuxième Peau group show",3,0,NULL,NULL,09,19,2013,09,19,2013,NULL,23:59,"  															Le Labo",Artist,NULL,0,NULL,0,-79.3592192,43.6502056
"Kelly Grace and Gosi Kosciolek",3,0,NULL,NULL,09,12,2013,09,12,2013,NULL,23:59,"  															Latitude 44",Artist,NULL,0,NULL,0,-79.4662413,43.6655555
"Chronos: Mississauga Potters' Guild",3,0,NULL,NULL,08,24,2013,08,24,2013,NULL,23:59,"  															Living Arts Centre",Artist,NULL,0,NULL,0,-79.6464125,43.5892046
"Osheen Harruthoonyan",3,0,NULL,NULL,08,22,2013,08,22,2013,NULL,23:59,"  															Lonsdale Gallery",Artist,NULL,0,NULL,0,-79.4127624,43.6884902
"Kayla Barbeau",3,0,NULL,NULL,08,23,2013,08,23,2013,NULL,23:59,"  															Mark Christopher Gallery",Artist,NULL,0,NULL,0,-79.4412533,43.6397086
"Building A City: People, Places And Life In Toronto 1845-1899",3,0,NULL,NULL,03,09,2013,03,09,2013,NULL,23:59,"  															Market Gallery",Artist,NULL,0,NULL,0,-79.3714179,43.6483154
"Paul Jackson",3,0,NULL,NULL,08,14,2013,08,14,2013,NULL,23:59,"  															Mascot",Artist,NULL,0,NULL,0,-79.4313185,43.6416772
"The Ontario Jewish Archives At Forty",3,0,NULL,NULL,09,01,2013,09,01,2013,NULL,23:59,"  															Miles Nadal JCC",Artist,NULL,0,NULL,0,-79.4038189,43.6666416
"PhotoSensitive: Picture Change",3,0,NULL,NULL,08,26,2013,08,26,2013,NULL,23:59,"  															1 Adelaide E",Artist,NULL,0,NULL,0,-79.3831843,43.653226
"Karen Lofgren, Vanessa Maltese and Jillian McDonald",3,0,NULL,NULL,09,25,2013,09,25,2013,NULL,23:59,"  															Onsite [at] OCAD U",Artist,NULL,0,NULL,0,-79.3885989,43.6497038
"Jean Marshall",3,0,NULL,NULL,08,08,2013,08,08,2013,NULL,23:59,"  															Ontario Crafts Council",Artist,NULL,0,NULL,0,-79.4182751,43.6443406
"Jeffrey Berman",3,0,NULL,NULL,08,22,2013,08,22,2013,NULL,23:59,"  															Pikto",Artist,NULL,0,NULL,0,-79.3607945,43.6500445
"Nancy Moore and Rosemary O'Sullivan",3,0,NULL,NULL,09,04,2013,09,04,2013,NULL,23:59,"  															Rectory Gallery & Café",Artist,NULL,0,NULL,0,-79.3543495,43.6303135
"Elaine Whittaker",3,0,NULL,NULL,09,13,2013,09,13,2013,NULL,23:59,"  															Red Head Gallery",Artist,NULL,0,NULL,0,-79.3937409,43.6478533
"Flight: A Thrilling History Of An Idea",3,0,NULL,NULL,07,30,2013,07,30,2013,NULL,23:59,"  															Reference Library",Artist,NULL,0,NULL,0,-79.3868129,43.6717923
"Paul Chartrand",3,0,NULL,NULL,09,01,2013,09,01,2013,NULL,23:59,"  															Roadside Attractions",Artist,NULL,0,NULL,0,-79.42349,43.675358
"The Travelling Eye: Videos From The Jeanne Parkin Collection",3,0,NULL,NULL,06,05,2013,06,05,2013,NULL,23:59,"  															Scrap Metal",Artist,NULL,0,NULL,0,-79.4435665,43.6546593
"Cortney Stephenson",3,0,NULL,NULL,08,01,2013,08,01,2013,NULL,23:59,"  															Soho Lobby Gallery",Artist,NULL,0,NULL,0,-79.3921465,43.6449299
"Melissa General",3,0,NULL,NULL,08,24,2013,08,24,2013,NULL,23:59,"  															Station Gallery",Artist,NULL,0,NULL,0,-78.9395547,43.8613924
"Poster Party group show",3,0,NULL,NULL,09,04,2013,09,04,2013,NULL,23:59,"  															Steam Whistle Brewing",Artist,NULL,0,NULL,0,-79.3851861,43.6411681
"Vivian Maier",3,0,NULL,NULL,07,25,2013,07,25,2013,NULL,23:59,"  															Stephen Bulger",Artist,NULL,0,NULL,0,-79.4197644,43.6441048
"Jed Lind",3,0,NULL,NULL,06,27,2013,06,27,2013,NULL,23:59,"  															Toronto Sculpture Garden",Artist,NULL,0,NULL,0,-79.3734716,43.6501021
"Julie Jenkinson",3,0,NULL,NULL,08,01,2013,08,01,2013,NULL,23:59,"  															Verso Gallery",Artist,NULL,0,NULL,0,-79.4250959,43.6429513
"Bento Sumé and Geraldo Valério",3,0,NULL,NULL,08,10,2013,08,10,2013,NULL,23:59,"  															Zebuu Gallery",Artist,NULL,0,NULL,0,-79.4418631,43.6584429
"The Spectacle Of Play",3,0,NULL,NULL,05,25,2013,05,25,2013,NULL,23:59,"  															Art Gallery of Hamilton",Artist,NULL,0,NULL,0,-79.8721755,43.2574123
"Jennifer Marman and Daniel Borins",3,0,NULL,NULL,09,15,2013,09,15,2013,NULL,23:59,"  															Art Gallery of Hamilton",Artist,NULL,0,NULL,0,-79.8721755,43.2574123
"Graeme Patterson",3,0,NULL,NULL,10,19,2013,10,19,2013,NULL,23:59,"  															Art Gallery of Hamilton",Artist,NULL,0,NULL,0,-79.8721755,43.2574123
"Joseph Calleja and Viktor Tinkl",3,0,NULL,NULL,07,06,2013,07,06,2013,NULL,23:59,"  															Art Gallery of Hamilton",Artist,NULL,0,NULL,0,-79.8721755,43.2574123
"Fall Art Sale",3,0,NULL,NULL,10,31,2013,10,31,2013,NULL,23:59,"  															Art Gallery of Hamilton",Artist,NULL,0,NULL,0,-79.8721755,43.2574123
"F'd Up",3,0,NULL,NULL,09,26,2013,09,26,2013,NULL,23:59,"  															Art Gallery of Mississauga",Artist,NULL,0,NULL,0,-79.6442456,43.5887819
"1st Thursdays",3,0,NULL,NULL,10,04,2013,10,04,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"Stanley Spencer",3,0,NULL,NULL,12,15,2013,12,15,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"Ai Weiwei",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"Sorel Etrog",3,0,NULL,NULL,04,27,2013,04,27,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"The Great Upheaval: Modern Masterpieces From The Guggenheim Collection",3,0,NULL,NULL,11,30,2013,11,30,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"Light My Fire: Five Propositions About Portraits, Part 1",3,0,NULL,NULL,05,02,2013,05,02,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"Light My Fire: Five Propositions About Portraits, Part 2",3,0,NULL,NULL,10,26,2013,10,26,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"Marina Abramovic and Ulay",3,0,NULL,NULL,06,08,2013,06,08,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"David Bowie Is",3,0,NULL,NULL,09,25,2013,09,25,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"Self-Portrait: As I Think Of Myself",3,0,NULL,NULL,04,13,2013,04,13,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"Aimia Photography Prize nominees",3,0,NULL,NULL,09,12,2013,09,12,2013,NULL,23:59,"  															Art Gallery of Ontario",Artist,NULL,0,NULL,0,-79.3923394,43.6536766
"Wael Shawky",3,0,NULL,NULL,10,20,2013,10,20,2013,NULL,23:59,"  															Art Gallery of York University",Artist,NULL,0,NULL,0,-79.4997392,43.7728354
"Collected In The Field: Shoemaking Traditions From Around The World",3,0,NULL,NULL,10,20,2013,10,20,2013,NULL,23:59,"  															Bata Shoe Museum",Artist,NULL,0,NULL,0,-79.400126,43.6673747
"Out Of The Box: The Rise Of Sneaker Culture",3,0,NULL,NULL,07,14,2013,07,14,2013,NULL,23:59,"  															Bata Shoe Museum",Artist,NULL,0,NULL,0,-79.400126,43.6673747
"Red, Green, Blue ? White",3,0,NULL,NULL,09,18,2013,09,18,2013,NULL,23:59,"  															Blackwood Gallery",Artist,NULL,0,NULL,0,-79.6604705,43.5482682
"Chun Hua Catherine Dong",3,0,NULL,NULL,09,03,2013,09,03,2013,NULL,23:59,"  															Blackwood Gallery",Artist,NULL,0,NULL,0,-79.6604705,43.5482682
"Cherished & Chosen: Women's Clothing From The Museums Of Mississauga Collection",3,0,NULL,NULL,08,01,2013,08,01,2013,NULL,23:59,"  															Bradley House Museum",Artist,NULL,0,NULL,0,-79.6130204,43.5129772
"Hot Mud: Emerging Canadian Ceramists",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Burlington Art Centre",Artist,NULL,0,NULL,0,-79.8005235,43.321014
"Jane Adeney and Donn Zver",3,0,NULL,NULL,07,07,2013,07,07,2013,NULL,23:59,"  															Burlington Art Centre",Artist,NULL,0,NULL,0,-79.8005235,43.321014
"Walter Hickling",3,0,NULL,NULL,09,29,2013,09,29,2013,NULL,23:59,"  															Burlington Art Centre",Artist,NULL,0,NULL,0,-79.8005235,43.321014
"Salt, Soda, Wood",3,0,NULL,NULL,10,05,2013,10,05,2013,NULL,23:59,"  															Burlington Art Centre",Artist,NULL,0,NULL,0,-79.8005235,43.321014
"Cindy Blazevic, Zoe Kreye and Gwenessa Lam",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Campbell House Museum",Artist,NULL,0,NULL,0,-79.3868401,43.6508431
"Harley Valentine",3,0,NULL,NULL,09,21,2013,09,21,2013,NULL,23:59,"  															Campbell House Museum",Artist,NULL,0,NULL,0,-79.3868401,43.6508431
"Life On The Grid: 100 Years Of Street Photography",3,0,NULL,NULL,06,27,2013,06,27,2013,NULL,23:59,"  															City of Toronto Archives",Artist,NULL,0,NULL,0,-79.4077178,43.6765036
"DXUncrated: Playing Favourites, Part II: Geometry (Textures)",3,0,NULL,NULL,07,01,2013,07,01,2013,NULL,23:59,"  															Design Exchange",Artist,NULL,0,NULL,0,-79.3799558,43.6477551
"Christian Louboutin",3,0,NULL,NULL,06,20,2013,06,20,2013,NULL,23:59,"  															Design Exchange",Artist,NULL,0,NULL,0,-79.3799558,43.6477551
"Hermès Festival Des Métiers",3,0,NULL,NULL,06,20,2013,06,20,2013,NULL,23:59,"  															Design Exchange",Artist,NULL,0,NULL,0,-79.3799558,43.6477551
"Intersection 2013",3,0,NULL,NULL,10,18,2013,10,18,2013,NULL,23:59,"  															Design Exchange",Artist,NULL,0,NULL,0,-79.3799558,43.6477551
"Wafaa Bilal",3,0,NULL,NULL,10,20,2013,10,20,2013,NULL,23:59,"  															Doris McCarthy Gallery",Artist,NULL,0,NULL,0,-79.1872867,43.786047
"The Art Of The Everyday: Faience In 17th And 18th Century France",3,0,NULL,NULL,08,22,2013,08,22,2013,NULL,23:59,"  															Gardiner Museum of Ceramic Art",Artist,NULL,0,NULL,0,-79.3935145,43.6679036
"Kathy Venter",3,0,NULL,NULL,06,20,2013,06,20,2013,NULL,23:59,"  															Gardiner Museum of Ceramic Art",Artist,NULL,0,NULL,0,-79.3935145,43.6679036
"Sheridan Ceramics Intervention",3,0,NULL,NULL,07,08,2013,07,08,2013,NULL,23:59,"  															Gardiner Museum of Ceramic Art",Artist,NULL,0,NULL,0,-79.3935145,43.6679036
"An Te Liu",3,0,NULL,NULL,09,06,2013,09,06,2013,NULL,23:59,"  															Gardiner Museum of Ceramic Art",Artist,NULL,0,NULL,0,-79.3935145,43.6679036
"RBC Emerging Artist People's Choice Award",3,0,NULL,NULL,10,15,2013,10,15,2013,NULL,23:59,"  															Gardiner Museum of Ceramic Art",Artist,NULL,0,NULL,0,-79.3935145,43.6679036
